Name,latitude,longtitude
Aceh Barat,4.4542745,96.1526985
Aceh Barat Daya,3.7963426,97.0068393
Aceh Besar,5.4529168,95.4777811
Aceh Jaya,4.7873684,95.6457951
Aceh Selatan,3.3115056,97.3516558
Aceh Singkil,2.3589459,97.87216
Aceh Tamiang,4.2328871,98.0028892
Aceh Tengah,4.4482641,96.8350999
Aceh Tenggara,3.3088666,97.6982272
Aceh Timur,4.5224111,97.6114217
Aceh Utara,4.9786331,97.2221421
Bener Meriah,4.7513606,96.9525224
Bireuen,5.1086446,96.663812
Gayo Lues,3.955165,97.3516558
Nagan Raya,4.1248406,96.4929797
Pidie,5.0742659,95.940971
Pidie Jaya,5.1548063,96.195132
Simeulue,2.6439724,96.0255738
Badung,-8.5819296,115.1770586
Bangli,-8.2975884,115.3548713
Buleleng,-8.2238968,114.9516869
Gianyar,-8.4248244,115.2600506
Jembrana,-8.3233438,114.6667939
Karang Asem,-8.4359528,115.609553
Klungkung,-8.727807,115.5444231
Tabanan,-8.4595561,115.0465991
Lebak,6.632811,124.1976882
Pandeglang,-6.7482706,105.6881788
Serang,-6.1103661,106.1639749
Tangerang,-6.2023936,106.6527099
Bengkulu Selatan,-4.3248409,103.035694
Bengkulu Tengah,-3.6962324,102.3922135
Bengkulu Utara,-3.2663246,101.9804613
Kaur,-4.5216,103.2663
Kepahiang,-3.6130091,102.6675575
Lebong,27.0615484,88.2765304
Mukomuko,-2.6449114,101.4339148
Rejang Lebong,-3.4548154,102.6675575
Seluma,-4.0499387,102.7135121
Boalemo,0.7013419,122.2653887
Bone Bolango,0.5657885,123.3486147
Gorontalo,0.6999372,122.4467238
Gorontalo Utara,0.9252647,122.4920088
Pohuwato,0.7055278,121.7195459
Jakarta,-6.17511,106.8650395
Kepulauan Seribu,-5.501771,106.550077
Batang Hari,-1.7083922,103.0817903
Bungo,-1.6401338,101.8891721
Kerinci,-1.8720467,101.4339148
Merangin,-2.1752789,101.9804613
Muaro Jambi,-1.552136,103.8216261
Sarolangun,-2.3230422,102.7135121
Tanjung Jabung Barat,-1.105846,103.0817903
Tanjung Jabung Timur,-1.1024367,103.8216261
Tebo,-1.2592999,102.3463875
Bandung,-6.9174639,107.6191228
Bandung Barat,-6.9174639,107.6191228
Bekasi,-6.2382699,106.9755726
Bogor,-6.5971469,106.8060388
Ciamis,-7.3320773,108.3492543
Cianjur,-6.8168237,107.1425442
Cirebon,-6.7320229,108.5523164
Garut,-7.5012204,107.763621
Indramayu,-6.3527985,108.3243415
Karawang,-6.3227303,107.3375791
Kuningan,-6.9810103,108.4928912
Majalengka,-6.7790605,108.2852049
Purwakarta,-6.5406665,107.4462717
Subang,3.0567333,101.5851192
Sukabumi,-6.9277361,106.9299579
Sumedang,-6.832858,107.9531836
Tasikmalaya,-7.3505808,108.2171633
Banjarnegara,-7.3794368,109.6163185
Banyumas,-7.4832133,109.140438
Batang,-7.0392183,109.9020509
Blora,-7.012244,111.3798928
Boyolali,-7.4317773,110.6883536
Brebes,-6.9591793,108.902683
Cilacap,-7.6178096,108.902683
Demak,-6.9238879,110.6645683
Grobogan,-7.1541672,110.9506636
Jepara,-6.5804981,110.6789833
Karanganyar,-7.6387228,111.0460407
Kebumen,-7.6680559,109.6524575
Kendal,54.328006,-2.74629
Klaten,-7.657893,110.6645683
Kudus,-6.7726186,110.8791343
Magelang,-7.4797342,110.2176941
Pati,-6.745,111.046
Pekalongan,-6.8898362,109.6745916
Pemalang,-7.0599422,109.4259114
Purbalingga,-7.3058578,109.4259114
Purworejo,-7.6964509,109.9989416
Rembang,-6.8082115,111.4275888
Semarang,-7.0051453,110.4381254
Sragen,-7.43027,111.0091855
Sukoharjo,-7.6483506,110.8552919
Tegal,-6.8797041,109.1255917
Temanggung,-7.2748721,110.0891894
Wonogiri,-7.8846484,111.0460407
Wonosobo,-7.3632094,109.9001796
Bangkalan,-7.038375,112.9136695
Banyuwangi,-8.2192335,114.3692267
Blitar,-8.0954627,112.1609056
Bojonegoro,-7.3174629,111.7614661
Bondowoso,-7.9673906,113.9060624
Gresik,-7.1550291,112.5721881
Jember,-8.1844859,113.6680747
Jombang,-7.5740867,112.28609
Kediri,-7.8480156,112.0178286
Lamongan,-7.1269261,112.3337769
Lumajang,-8.0943571,113.1441558
Madiun,-7.6310587,111.5300159
Magetan,-7.6433138,111.356045
Malang,-7.9666204,112.6326321
Mojokerto,-7.4698914,112.4351068
Nganjuk,-7.5943507,111.9045541
Ngawi,-7.460987,111.3321974
Pacitan,-8.126331,111.1414226
Pamekasan,-7.1050857,113.5252319
Pasuruan,-7.6469193,112.8999225
Ponorogo,-7.8650759,111.4696322
Probolinggo,-7.7764226,113.2037131
Sampang,-7.0402326,113.2394452
Sidoarjo,-7.4726134,112.6675398
Situbondo,-7.7888522,114.1914951
Sumenep,-6.9253999,113.9060624
Trenggalek,-8.1824112,111.6183755
Tuban,-6.8954851,112.029752
Tulungagung,-8.091221,111.9641728
Bengkayang,1.06911,109.6639309
Kapuas Hulu,0.8336697,113.0011989
Kayong Utara,-0.9225877,110.0449662
Ketapang,-1.859098,109.971901
Kubu Raya,-0.3533938,109.4735066
Landak,0.4237287,109.7591675
Melawi,-0.7000681,111.6660725
Pontianak,-0.0263303,109.3425039
Mempawah,0.3642599,108.954903
Sambas,1.3625191,109.2831531
Sanggau,0.1400117,110.5215459
Sekadau,-0.0697175,110.9983515
Sintang,-0.1378068,112.8105512
Balangan,-2.3260425,115.6154732
Banjar,-7.3706874,108.5342487
Barito Kuala,-3.0714738,114.6667939
Hulu Sungai Selatan,-2.7662681,115.2363408
Hulu Sungai Tengah,-2.6153162,115.5207358
Hulu Sungai Utara,-2.4421225,115.188916
Kotabaru,-3.0029841,115.9467997
Tabalong,-1.864302,115.5681084
Tanah Bumbu,-3.4512244,115.5681084
Tanah Laut,-3.7694047,114.8092691
Tapin,49.906961,22.6805493
Barito Selatan,-1.875943,114.8092691
Barito Timur,-2.0123999,115.188916
Barito Utara,-0.9587136,115.094045
Gunung Mas,-1.2522464,113.5728501
Kapuas,-1.8116445,114.3341432
Katingan,-0.9758379,112.8105512
Kotawaringin Barat,-2.5063419,111.7614661
Kotawaringin Timur,-2.1225475,112.8105512
Lamandau,-1.8526377,111.2845025
Murung Raya,-0.1362171,114.3341432
Pulang Pisau,-2.6849607,113.9536466
Seruyan,-3.0123467,112.4291464
Sukamara,-2.6267517,111.2368084
Berau,2.0450883,117.3616476
Kutai Barat,-0.4051796,115.8521764
Kutai Kartanegara,-0.1336655,116.6081653
Kutai Timur,0.9433774,116.9852422
Paser,-1.7175266,115.9467997
Penajam Paser Utara,-1.2917094,116.5137964
Bulungan,2.9042476,116.9852422
Malinau,3.0730929,116.0413889
Nunukan,4.0809649,116.6081653
Tana Tidung,3.551869,117.0794082
Bangka,-2.2884782,106.0640179
Bangka Barat,-1.8405046,105.5005483
Bangka Selatan,-2.7410513,106.4405872
Bangka Tengah,-2.4007823,106.2051484
Belitung,-2.8708938,107.9531836
Belitung Timur,-2.8678037,108.1428669
Bintan,1.1367041,104.4257533
Karimun,1.0578902,103.3702811
Kepulauan Anambas,3.1055459,105.6537231
Lingga,-0.4726065,104.4257533
Natuna,4,108.25
Lampung Barat,-5.1095293,104.1466046
Lampung Selatan,-5.5622614,105.5474373
Lampung Tengah,-4.8008086,105.3131185
Lampung Timur,-5.1134995,105.6881788
Lampung Utara,-4.8133905,104.7520939
Mesuji,-4.0044783,105.3131185
Pesawaran,-5.493245,105.0791228
Pringsewu,-5.3331186,104.9856176
Tanggamus,-5.3027489,104.5655273
Tulang Bawang,-4.3176576,105.5005483
Tulang Bawang Barat,-4.5256967,105.0791228
Way Kanan,-4.4963689,104.5655273
Buru,-3.3927754,126.7819505
Buru Selatan,-3.7273972,126.6957216
Kepulauan Aru,-6.1947,134.5502
Maluku Barat Daya,-7.7851588,126.3498097
Maluku Tengah,-3.0166501,129.4864411
Maluku Tenggara,-5.7512455,132.7271587
Maluku Tenggara Barat,-7.5322642,131.3611121
Seram Bagian Barat,-3.1271575,128.4008357
Seram Bagian Timur,-3.4233267,130.2271243
Halmahera Barat,1.3589663,127.5960704
Halmahera Selatan,-1.5109015,127.7237678
Halmahera Tengah,0.4419543,128.3587174
Halmahera Timur,1.3121235,128.4849923
Halmahera Utara,1.5074308,127.8936663
Kepulauan Sula,-1.8321222,125.958777
Pulau Morotai,2.3656672,128.4008357
Bima,-8.4642661,118.7449028
Dompu,-8.5363958,118.3461948
Lombok Barat,-8.6464599,116.1123078
Lombok Tengah,-8.694623,116.2777073
Lombok Timur,-8.5134471,116.5609857
Lombok Utara,-8.3739076,116.2777073
Sumbawa,-8.738072,118.1171082
Sumbawa Barat,-8.504043,117.428497
Alor,-8.2928427,124.5528387
Belu,51.5212308,-0.1090244
Ende,-8.854053,121.654198
Flores Timur,-8.3130942,122.9663018
Kupang,-10.1771997,123.6070329
Lembata,-8.4719075,123.4831906
Manggarai,-8.6796987,120.3896651
Manggarai Barat,-8.6688149,120.0665236
Manggarai Timur,-8.6206712,120.6199895
Nagekeo,-8.6753545,121.3084088
Ngada,-8.7430424,120.9876321
Rote Ndao,-10.7386421,123.1239049
Sabu Raijua,-10.5541116,121.8334868
Sikka,22.4276887,69.8418718
Sumba Barat,-9.6548326,119.3947135
Sumba Barat Daya,-9.539139,119.1390642
Sumba Tengah,-9.4879226,119.6962677
Sumba Timur,-9.9802103,120.3435506
Timor Tengah Selatan,-9.7762816,124.4198243
Timor Tengah Utara,-9.4522647,124.597132
Asmat,-5.0573958,138.3988186
Biak Numfor,-1.0381022,135.9800848
Boven Digoel,-5.7400018,140.3481835
Deiyai,-4.0974893,136.4393054
Dogiyai,-4.0454139,135.6763443
Intan Jaya,-3.5076422,136.7478493
Jayapura,-2.987923,139.8547266
Jayawijaya,-4.35,139.416667
Keerom,-3.3449536,140.7624493
Kepulauan Yapen,-1.7469359,136.1709012
Lanny Jaya,-3.971033,138.3190276
Mamberamo Raya,-2.5331255,137.7637565
Mamberamo Tengah,-2.3745692,138.3190276
Mappi,-6.7606468,139.6911374
Merauke,-8.4991117,140.4049814
Mimika,-4.4553223,137.1362125
Nabire,-3.5095462,135.7520985
Nduga,-4.4069496,138.2393528
Paniai,-3.7876441,136.3624686
Pegunungan Bintang,-4.5589872,140.5135589
Puncak,-6.7028188,106.9990215
Puncak Jaya,-4.0845986,137.1866179
Sarmi,-2.4678144,139.2030851
Supiori,-0.7295099,135.6385125
Tolikara,-3.481132,138.4787258
Waropen,-2.8435717,136.670534
Yahukimo,-4.4939717,139.5279996
Yalimo,-3.7852847,139.4466005
Fakfak,-3.097706,133.0194897
Kaimana,-3.288406,133.9436788
Manokwari,-0.8614531,134.0620421
Maybrat,-1.2970979,132.3150993
Raja Ampat,-1.0915151,130.8778586
Sorong,-0.8761629,131.255828
Sorong Selatan,-1.7657744,132.1572702
Tambrauw,-0.781856,132.3938375
Teluk Bintuni,-1.9056848,133.329466
Teluk Wondama,-2.8551699,134.3236557
Bengkalis,1.4139187,101.6157773
Indragiri Hilir,-0.1456733,102.989615
Indragiri Hulu,-0.7361181,102.2547919
Kampar,4.308504,101.1536528
Kepulauan Meranti,0.9208765,102.6675575
Kuantan Singingi,-0.4411596,101.5248055
Pelalawan,0.1460923,102.2547919
Rokan Hilir,1.6463978,100.8000051
Rokan Hulu,1.0410934,100.439656
Siak,0.8118812,101.7979613
Majene,-3.0297251,118.9062794
Mamasa,-2.9118209,119.3250347
Mamuju,-2.4920057,119.3250347
Mamuju Utara,-1.5264542,119.5107708
Polewali Mandar,-3.3419323,119.1390642
Bantaeng,-5.5169316,120.0202964
Barru,51.5395275,0.6936513
Bone,-4.7443,120.0665
Bulukumba,-5.4329368,120.2051096
Enrekang,-3.4590744,119.8815203
Gowa,-5.3102888,119.742604
Jeneponto,-5.554579,119.6730939
Kepulauan Selayar,-6.2869786,120.5048792
Luwu,-3.3052214,120.2512728
Luwu Timur,-2.5825518,121.1710389
Luwu Utara,-2.2690446,119.9740534
Maros,-5.0549145,119.6962677
Pangkajene Dan Kepulauan,-4.805035,119.5571677
Pinrang,-3.6483486,119.5571677
Sidenreng Rappang,-3.7738981,120.0202964
Sinjai,-5.2171961,120.112735
Soppeng,-4.3518541,119.9277947
Takalar,-5.4162493,119.4875668
Tana Toraja,-3.0753003,119.742604
Toraja Utara,-2.8621942,119.8352303
Wajo,-4.022229,120.0665236
Banggai,-0.956178,122.6277455
Banggai Kepulauan,-0.956178,122.6277455
Buol,0.9695452,121.3541631
Donggala,-0.4233155,119.8352303
Morowali,-2.6987231,121.9017954
Parigi Moutong,0.5817607,120.8039474
Poso,-1.6468883,120.4357631
Sigi,-1.3859904,119.8815203
Tojo UnaUna,-1.098757,121.5370003
Tolitoli,0.8768231,120.7579834
Bombana,-4.6543462,121.9017954
Buton,-5.3096355,122.9888319
Buton Utara,-4.7023424,123.0338767
Kolaka,-3.9946988,121.5826642
Kolaka Utara,-3.1347227,121.1710389
Konawe,-3.9380432,122.0837445
Konawe Selatan,-4.2027915,122.4467238
Konawe Utara,-3.3803291,122.0837445
Muna,20.4849154,-89.7130643
Wakatobi,-5.5634736,123.9304254
Bolaang Mongondow,0.6870994,124.0641419
Bolaang Mongondow Selatan,0.4053215,123.8411288
Bolaang Mongondow Timur,0.7152651,124.4641848
Bolaang Mongondow Utara,0.9070359,123.2657311
Kepulauan Sangihe,3.6329172,125.5000999
Kepulauan Talaud,4.3066741,126.8034921
Minahasa,1.2168837,124.8182593
Minahasa Selatan,1.0946773,124.4641848
Minahasa Tenggara,1.0278551,124.7298765
Minahasa Utara,1.5327973,124.994751
Siau Tagulandang Biaro,2.345964,125.4124355
Agam,-0.2209392,100.1703257
Dharmasraya,-1.1120568,101.6157773
Kepulauan Mentawai,-1.426001,98.9245343
Lima Puluh Kota,0.0734192,100.5296115
Padang Pariaman,-0.5546757,100.2151578
Pasaman,0.2209392,100.1703257
Pasaman Barat,0.2213005,99.634135
Pesisir Selatan,-1.7223147,100.8903099
Sijunjung,-0.6647007,101.0711758
Solok,-0.7885335,100.6549823
Solok Selatan,-1.4157329,101.2523792
Tanah Datar,-0.4797043,100.5746224
Banyuasin,-2.6095639,104.7520939
Empat Lawang,-3.7286029,102.8975098
Lahat,-3.8008893,103.3587288
Muara Enim,-3.7114163,104.0072348
Musi Banyuasin,-2.5442029,103.7289167
Musi Rawas,-3.0956537,103.0817903
Ogan Ilir,-3.426544,104.6121475
Ogan Komering Ilir,-3.4559744,105.2194808
Ogan Komering Ulu,-4.0283486,104.0072348
Ogan Komering Ulu Selatan,-4.6682,104.0072
Ogan Komering Ulu Timur,-3.8567934,104.7520939
Asahan,2.8174722,99.634135
Batu Bara,3.1740979,99.5006143
Dairi,2.8675801,98.265058
Deli Serdang,3.4201802,98.704075
Humbang Hasundutan,2.1988508,98.5721016
Karo,3.1052909,98.265058
Labuhan Batu,2.3439863,100.1703257
Labuhan Batu Selatan,1.8799353,100.1703257
Labuhan Batu Utara,2.3465638,99.8124935
Langkat,3.8653916,98.3088441
Mandailing Natal,0.7432372,99.3673084
Nias,1.1255279,97.5247243
Nias Barat,1.0116383,97.4814163
Nias Selatan,0.7086091,97.8286368
Nias Utara,1.3166036,97.394882
Padang Lawas,1.1186977,99.8124935
Padang Lawas Utara,1.5758644,99.634135
Pakpak Bharat,2.5135376,98.2212979
Samosir,2.6273112,98.7922018
Serdang Bedagai,3.3371694,99.0571089
Simalungun,2.9781612,99.2785583
Tapanuli Selatan,1.5774933,99.2785583
Tapanuli Tengah,1.8493299,98.704075
Tapanuli Utara,2.0405246,99.1013498
Toba Samosir,2.3502398,99.2785583
Bantul,-7.9190169,110.3785438
Gunung Kidul,-8.0305091,110.6168921
Kulon Progo,-7.8266798,110.1640846
Sleman,-7.7325213,110.402376
